time,Ca_x,x_len,y_len,major_len,minor_len
2.77,-0.6809444978971014,1.4214377,3.4511807,3.451198937827618,1.4214390505074093
2.78,-0.6829223548951051,1.4143316000000001,3.4542738,3.4542916792951033,1.414332973464936
2.79,-0.6848952180491986,1.4075687000000001,3.4569181,3.456935632485526,1.4075700970790819
2.8,-0.6868630729328946,1.4011446,3.4591475999999997,3.459164797486178,1.4011460210976434
2.81,-0.6888259051563287,1.3950532,3.4609977,3.4610145742848837,1.3950546456041248
2.82,-0.6907837003663644,1.3892859,3.4625041,3.4625206625510874,1.3892873709628688
2.83,-0.6927364442466982,1.3838325,3.4637013999999997,3.4637176621779946,1.3838339963017807
2.84,-0.6946841225179644,1.378682,3.4646235,3.4646394734044326,1.378683522396632
2.85,-0.6966267209378392,1.3738218,3.4653023999999997,3.465318095547585,1.3738233488549152
2.86,-0.6985642253011449,1.3692391,3.4657678,3.4657832282926093,1.3692406757669813
2.87,-0.7004966214399544,1.3649206,3.4660474,3.4660625715955913,1.3649222030590604
2.88,-0.7024238952236936,1.3608528,3.4661663999999996,3.46618132490178,1.3608544308362314
2.89,-0.7043460325592461,1.3570224,3.4661477,3.4661623879076418,1.3570240587753275
2.9,-0.7062630193910551,1.3534161999999998,3.4660117,3.4660261599368347,1.3534178869238769
2.91,-0.7081748417012268,1.3500218,3.4657767,3.465790940838982,1.3500235153075493
2.92,-0.710081485509633,1.3468266,3.4654591999999997,3.4654732301731297,1.3468283437419393
2.93,-0.7119829368740128,1.3438189999999999,3.4650733000000002,3.465087127821616,1.3438207725317493
2.94,-0.713879181890075,1.3409877,3.4646315999999997,3.4646452327858235,1.3409895016021214
2.95,-0.7157702066915995,1.338322,3.4641450000000003,3.464158445307244,1.3383238308594714
2.96,-0.717655997450539,1.3358119,3.463623,3.463636264550387,1.3358137601831932
2.97,-0.7195365403771198,1.3334479,3.4630738,3.463086890649139,1.3334497897846795
2.98,-0.7214118217199429,1.3312211,3.4625048,3.462517722873169,1.3312230192571368
2.99,-0.7232818277660843,1.3291231,3.4619220000000004,3.4619347611350757,1.3291250491789672
3.0,-0.7251465448411952,1.3271459,3.4613305,3.4613431047595755,1.3271478787296227
3.01,-0.7270059593096029,1.3252822000000002,3.4607351,3.460747554089993,1.325284208417136
3.02,-0.7288600575744092,1.3235251,3.4601395,3.4601518082115437,1.3235271381210008
3.03,-0.7307088260775906,1.3218681,3.4595469,3.459559067468059,1.3218701678906835
3.04,-0.7325522513000972,1.3203051000000001,3.4589603,3.4589723311920135,1.3203071977062466
3.05,-0.7343903197619519,1.3188305,3.4583814999999998,3.4583933992480893,1.3188326275256732
3.06,-0.7362230180223484,1.3174391,3.4578129000000004,3.457824671401668,1.3174412571173568
3.07,-0.73805033267975,1.3161257000000002,3.457256,3.457267647498032,1.316127886739627
3.08,-0.7398722503719873,1.3148857999999999,3.4567119,3.4567234275019274,1.3148880164218135
3.09,-0.7416887577763561,1.313715,3.456182,3.4561934109186137,1.3137172458114164
3.1,-0.7434998416097146,1.3126093,3.4556666,3.4556778978721434,1.312611575256481
3.11,-0.7453054886285807,1.3115648,3.4551667999999998,3.455177987738331,1.3115671045980615
3.12,-0.7471056856292289,1.310578,3.4546827,3.454693780918518,1.3105803338335256
3.13,-0.7489004194477865,1.3096456,3.4542148,3.4542257770029368,1.309647963205133
3.14,-0.7506896769603304,1.3087646,3.4537632,3.453774075760899,1.3087669927813241
3.15,-0.7524734450829828,1.3079315999999999,3.4533283,3.4533390772281507,1.3079340216901838
